standard_smiles,logSw,ID,Name,latent_index,fold
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3O[C@H]3OC(C)C(O)C(O)C3O)cc2O)cc1O,3.04,293,neohesperidin_DHC,202,2
COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,1.9,177,isovanillic_21,203,3
COc1ccc(CCc2ccccc2)cc1O,2.48,257,phyllodulcin_8,204,4
COc1ccc(NCc2ccccc2)cc1O,2.4,252,phyllodulcin_11,205,0
COc1ccc2c(c1)O[C@]1(O)COc3ccccc3C21,2.0,193,isovanillic_25,206,1
C[C@@H](NC(=O)[C@@H](N)CC(=O)O)C(=O)NC1C(C)(C)SC1(C)C,3.3,303,alitame,207,2
C[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@H]1O,-0.85,1,alpha-L-Rhamnopyranose,208,3
C[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@@H]1O,-0.48,18,beta-L-Fucopyranose,209,4
C[C@H](CCC(O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5OC(CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,3.27,299,isomogroside_V,210,0
C[C@H](CC[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,2.53,261,mogroside_V,211,1
C[C@H](CC[C@@H](O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(C)(C)O)[C@H]1CC[C@@]2(C)[C@H]3CC=C4[C@@H](CC[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C4(C)C)[C@]3(C)[C@H](O)C[C@]12C,2.75,275,siamenoside_I,212,2
C[C@H](N)C(=O)O,0.11,53,alanine,213,3
C[C@]1(C(=O)O)CCC[C@@]2(C)c3ccccc3[C@@](O)(C(=O)O)[C@H]12,3.19,298,4beta_10alpha-dimethyl-1_2_3_4_5_10-hexahydrofluorene-4alpha_6alpha-dicarboxylic_acid,214,4
Cc1ccc(CC(C)NC(=O)C(N)CC(=O)O)cc1,0.89,85,asp_4,215,0
Cc1cccc(CN/C(=N\c2ccc(C#N)cc2)NCC(=O)O)c1,5.3,314,bernardame,216,1
N#Cc1ccc(/N=C(\NCC(=O)O)NC2CCCCCCCC2)cc1,5.3,315,sucrononic_acid,217,2
N#Cc1ccc(N/C(=N/Cc2cccc3c2OCO3)NCC(=O)O)cc1,5.35,316,lugduname,218,3
NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,3.6,306,3-(aminocarbonyl)-2_4_6-tribromobenzenepropanoic_acid,219,4
NC(CC(=O)O)C(=O)NC(CO)C(=O)OC1CCCCC1,1.72,163,asp_166,220,0
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CC1,1.96,185,asp_92,221,1
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCC1,1.71,162,asp_95,222,2
NC(CC(=O)O)C(=O)NC(CO)COC(=O)C1CCCC1,0.92,88,asp_98,223,3
NC(CC(=O)O)C(=O)NCC(=O)OC1CCCCC1,1.02,93,asp_184,224,4
NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCC1,1.16,102,asp_138,225,0
NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCCC1,1.22,113,asp_139,226,1
NC(CC(=O)O)C(=O)NCCC1CCCCC1,0.85,82,asp_2,227,2
NC(CC(=O)O)C(=O)NCCOC(=O)C1CC1,1.03,94,asp_71,228,3
NC(CC(=O)O)C(=O)NCCOC(=O)C1CCC1,0.99,91,asp_72,229,4
NC(CC(=O)O)C(=O)NCCc1ccc(F)cc1,0.57,65,asp_1,230,0
NC(Cc1c[nH]c2cccc(Cl)c12)C(=O)O,3.0,289,6-chloro-tryptophan,231,1
NC(Cc1c[nH]c2ccccc12)C(=O)O,1.54,142,tryptophan,232,2
N[C@@H](C[C@@](O)(CC1=NCc2ccccc21)C(=O)O)C(=O)O,3.11,295,monatine,233,3
O=C(CCc1ccc(O)cc1)c1c(O)cc(OC2OC(CO)C(O)C(O)C2O)cc1O,1.6,153,prunin_DHC,234,4
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,-0.04,49,D-tagatose,235,0
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,0.16,55,fructose,236,1
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,-0.22,40,sorbose,237,2
O=C(CO[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@@H](O)[C@H](O)[C@H](O)CO,-0.26,36,trehalulose,238,3
O=C(O)C/N=C(/Nc1cc(Cl)cc(Cl)c1)NC(c1ccccc1)c1ccccc1,5.2,313,carrelame,239,4
O=C(O)CCNC(=O)Nc1ccc([N+](=O)[O-])cc1,2.54,262,suosan,240,0
O=C/C=C/c1ccccc1,1.7,157,trans-cinnamaldehyde,241,1
O=C1C=COS(=O)(=O)N1,1.0,92,acesulfame_potassium_H_H,242,2
O=C1CC(c2ccc(OC3OC(CO)C(O)C(O)C3O)cc2)Oc2cc(O)ccc21,2.4,249,liquiritin,243,3
O=C1NS(=O)(=O)c2ccccc21,2.57,266,saccharin,244,4
O=C[C@@H](O)[C@H](O)[C@H](O)CO,-0.16,44,arabinose,245,0
O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,-0.19,42,galactose,246,1
O=C[C@H](O)[C@@H](O)[C@H](O)CO,-0.28,32,xylose,247,2
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-0.22,39,glucose,248,3
O=C[C@H](O)[C@H](O)[C@H](O)CO,-0.15,45,ribose,249,4
O=S(=O)(O)NC1CCCCC1,1.48,134,cyclamate,250,0
OC1C(CCl)OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C1O,1.4,127,6-1p-6p-3Cl-sucrose,251,1
OC1C(O[C@]2(CCl)OC(CCl)C(O)C2O)OC(CCl)C(Cl)C1O,2.3,245,4-6-1p-6p-4Cl-sucrose,252,2
OC1COC(OC2COC(O)C(O)C2O)C(O)C1O,-0.4,27,xylobiose,253,3
OC1OC[C@@H](O)[C@@H](O)[C@H]1O,-0.51,16,beta-D-Ribopyranose,254,4
OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1O,-0.27,34,isomalt,255,0
OCC(O)C(O)C(O)CO,-0.01,50,xylitol,256,1
OCC(O)CO,-0.8,2,glycerol,257,2
OCC1OC(O)C(O)C(O)C1O,-0.28,33,mannose,258,3
OCC1OC(OCC2OC(OCC3OC(O[C@]4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.66,5,stachyose,259,4
OCC1OC(OCC2OC(O[C@]3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,-0.6,9,raffinose,260,0
OCC1OC(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,-0.37,29,trehalose,261,1
OCC1OC(O[C@]2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1Br,3.88,308,4-1p-4p-6p-4Br-sucrose,262,2
OCC1OC(O[C@]2(CBr)OC(CBr)C(Br)C2O)C(O)C(O)C1F,3.0,288,4-F-1p-4p-6p-3Br-sucrose,263,3
OCC1OC(O[C@]2(CBr)OC(CBr)C(O)C2O)C(O)C(O)C1Br,2.9,284,4-1p-6p-3Br-sucrose,264,4
OCC1OC(O[C@]2(CCl)OC(CCl)C(Br)C2O)C(O)C(O)C1Cl,3.51,305,4p-Br-4-1p-6p-3Cl-sucrose,265,0
OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1Cl,3.32,304,4-1p-4p-6p-4Cl-sucrose,266,1
OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1F,2.78,279,4-F-1p-4p-6p-3Cl-sucrose,267,2
OCC1OC(O[C@]2(CCl)OC(CCl)C(Cl)C2O)C(O)C(O)C1O,2.0,201,1p-4p-6p-3Cl-sucrose,268,3
OCC1OC(O[C@]2(CCl)OC(CCl)C(F)C2O)C(O)C(O)C1Cl,3.0,287,4p-F-4-1p-6p-3Cl-sucrose,269,4
OCC1OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1Cl,2.8,281,4-1p-6p-3Cl-sucrose,270,0
OCC1OC(O[C@]2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,1.89,174,1p-6p-2Cl-sucrose,271,1
OCC1OC(O[C@]2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1Cl,2.34,247,4-1p-4p-3Cl-sucrose,272,2
OCC1OC(O[C@]2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,1.48,130,1p-4p-2Cl-sucrose,273,3
OCC1OC(O[C@]2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,1.3,120,1p-Cl-sucrose,274,4
OCC1OC(O[C@]2(CF)OC(CF)C(O)C2O)C(O)C(O)C1F,1.6,149,4-1p-6p-3F-sucrose,275,0
OCC1OC(O[C@]2(CI)OC(CI)C(O)C2O)C(O)C(O)C1I,2.08,212,4-1p-6p-3I-sucrose,276,1
OCC1OC(O[C@]2(CO)OC(CCl)C(Cl)C2O)C(O)C(O)C1Cl,2.2,230,4-4p-6p-3Cl-sucrose,277,2
OCC1OC(O[C@]2(CO)OC(CCl)C(O)C2O)C(O)C(O)C1O,1.3,119,6p-Cl-sucrose,278,3
OCC1OC(O[C@]2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,0.0,51,sucrose,279,4
OCC1O[C@@](CCl)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,2.08,211,4-1p-2Cl-sucrose,280,0
OCC1O[C@@](CO)(OC2OC(CO)C(Cl)C(O)C2O)C(O)C1O,0.7,79,4-Cl-sucrose,281,1
OC[C@@H](O)C(O)[C@H](O)CO,-0.6,8,arabitol,282,2
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-0.3,30,mannitol,283,3
OC[C@@]1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,-0.11,47,beta-D-Fructopyranose,284,4
OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O,-0.28,31,alpha-L-Sorbopyranose,285,0
OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,-0.24,38,galactitol,286,1
OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-0.24,37,sorbitol,287,2
OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,-0.46,21,lactitol,288,3
OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,-0.06,48,maltitol,289,4
OC[C@H](O)[C@H](O)CO,-0.2,41,meso-erythritol,290,0
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,-0.43,24,beta-D-Glucopyranose,291,1
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-0.54,12,lactose,292,2
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,-0.72,3,beta-D-Galactopyranose,293,3
OC[C@H]1O[C@@H](O)[C@H](O)[C@H]1O,-0.64,6,beta-D-Xylofuranose,294,4
OC[C@H]1O[C@@](O)(CO)[C@H](O)[C@@H]1O,-0.43,25,alpha-D-Psicofuranose,295,0
OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,-0.55,11,alpha-D-Mannopyranose,296,1
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-0.438183,23,alpha-D-lactose,297,2
OC[C@H]1O[C@H](OC[C@H]2OC(O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.52,14,isomaltulose,298,3
OC[C@H]1O[C@H](O[C@@H]2CO[C@](O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.46,20,leucrose,299,4
OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.41,26,maltose,300,0
OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.57,10,kojibiose,301,1
OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](CO)O[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.66,4,4-galactosyl-kojibiose,302,2
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@](O)(CO)OC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.51,15,maltulose,303,3
OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)CO[C@]2(O)CO)[C@H](O)[C@@H](O)[C@@H]1O,-0.44,22,turanose,304,4
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl,2.78,277,sucralose,305,0
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,-0.6,7,lactulosucrose,306,1
OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-0.52,13,lactulose,307,2
OC[C@]1(O)OCC(O)C(O)C1O,-0.15,46,psicose,308,3
OC[C@]1(O)OC[C@@H](O)[C@H](O)[C@@H]1O,-0.37,28,alpha-D-Tagatopyranose,309,4
O[C@H]1CO[C@@H](O)[C@H](O)[C@H]1O,-0.48,19,alpha-L-Arabinopyranose,310,0
Oc1cc2c(cc1O)C1c3ccc(O)c(O)c3OC[C@@]1(O)O2,2.08,208,isovanillic_24,311,1
Oc1cc2c(cc1O)[C@@H]1c3ccc(O)c(O)c3OC[C@@]1(O)C2,2.08,209,hematoxylin,312,2
Oc1ccc(C2OCc3ccccc3S2)cc1O,2.3,238,isovanillic_15,313,3
Oc1ccc(C2Oc3c(c(O)cc(O)c3C3c4c(O)cc5c(c4OC(c4ccc(O)cc4)C3O)[C@@H]3c4c(O)cc(O)cc4O[C@@](c4ccc(O)cc4)(O5)[C@H]3O)CC2O)cc1,1.54,141,selligueain_A,314,4
Oc1cccc(C2OCc3ccccc3S2)c1,2.0,195,isovanillic_16,315,0
